spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4nHJcUtNSUVjXRnjdP29Bk,You’re Gonna Go Far,Noah Kahan,37,6,2,IE,2024-02-14,84,True,286369,Stick Season (We'll All Be Here Forever),2023-06-09,0.59,0.36,7,-9.643,1,0.0301,0.599,0.0,0.112,0.379,169.909,4
6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,Flo Milli,38,7,-14,IE,2024-02-14,93,True,125901,Never Lose Me,2023-11-30,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,4
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,39,-2,-18,IE,2024-02-14,83,False,208211,Strange Trails,2015-04-07,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3
3aZSvXuZt8ymQeixzFQM9W,KEYS TO MY LIFE,"Kanye West, Ty Dolla $ign",40,-15,10,IE,2024-02-14,79,True,174083,VULTURES 1,2024-02-09,0.487,0.553,11,-8.938,0,0.645,0.133,0.0,0.115,0.623,80.441,4
3IoAMvGFYzM05B64h7qmdf,PAPERWORK,"Kanye West, Ty Dolla $ign",41,-8,9,IE,2024-02-14,78,True,145785,VULTURES 1,2024-02-09,0.742,0.488,8,-5.308,1,0.0551,0.0704,9.4e-06,0.0821,0.186,120.811,4
4E63weMCaNZuGPEFMnuEi8,exes,Tate McRae,42,8,-7,IE,2024-02-14,91,True,159400,THINK LATER,2023-12-08,0.821,0.575,5,-6.57,0,0.0589,0.173,0.000242,0.114,0.611,136.962,4
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,43,7,-20,IE,2024-02-14,99,False,137773,The Land Is Inhospitable and So Are We,2023-09-15,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,44,-6,-19,IE,2024-02-14,95,False,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,4
0LMwmV37RCmBO2so0szAFs,Whatever,"Kygo, Ava Max",45,5,-4,IE,2024-02-14,89,False,178273,Whatever,2024-01-19,0.576,0.776,3,-5.678,1,0.066,0.114,0.0,0.333,0.596,107.943,4
1ewzs8xG9P7wSZhpp8VCuy,On My Love,"Zara Larsson, David Guetta",46,4,4,IE,2024-02-14,58,False,222911,VENUS,2024-02-09,0.492,0.688,10,-4.989,0,0.046,0.0724,0.0029,0.0881,0.316,123.069,4
